target_id,source_id,ra,dec,RUWE,non_single_star
2MASS J08263810-1806097,5708174096604518144,126.6588235,-18.10271839,1.5601546,0
2MASS J08264174-1805195,5708174229745210496,126.6739774,-18.08876675,1.4033773,2
2MASS J08264810-1810234,5707985216824457856,126.7004087,-18.17323662,0.83432466,2
2MASS J08264810-1810234,5707985221121810816,126.7007649,-18.17219071,,0
2MASS J08264981-1808416,5707986007098435200,126.7075826,-18.14499821,0.9861183,0
2MASS J08264981-1808416,5707986011393781632,126.7069913,-18.14601146,1.0701295,0
2MASS J08265265-1806186,5707986801670658560,126.7193871,-18.10516948,0.9928526,0
2MASS J08265861-1808089,5707985770878174976,126.7442383,-18.13581184,0.97113746,0
2MASS J08265916-1813079,5707980440820831872,126.7465052,-18.2188791,0.91200393,0
2MASS J08270183-1804120,5707992848984268800,126.7574742,-18.07002493,1.0173777,0
2MASS J08270312-1811400,5707981956947220096,126.7628613,-18.19431987,1.0452864,0
2MASS J08270312-1811400,5707981956944646656,126.7622338,-18.19350303,1.1252513,0
2MASS J08270680-1802165,5707992982125307392,126.7783642,-18.03793713,1.0017337,0
2MASS J08270680-1802165,5707992986420624768,126.7792327,-18.03890623,1.0024496,0
2MASS J08271045-1813311,5707981609051937664,126.7935508,-18.22532635,0.9812256,0
2MASS J08271567-1808353,5707982605484336640,126.8153393,-18.14315599,1.0882441,0
2MASS J08272439-1804522,5707991715112890240,126.8515583,-18.0810855,1.0115107,0
2MASS J08273086-1810478,5707981540332453376,126.8786239,-18.17994925,1.2617855,0
2MASS J08273090-1812129,5707981235392696320,126.878779,-18.20361245,1.962569,0
2MASS J08273166-1806317,5707988622736435456,126.8819369,-18.10873538,1.2546493,0
2MASS J08273243-1805101,5707989069413031168,126.8851539,-18.0861279,0.91945755,0
2MASS J08280905-1809470,5707977180943842688,127.0376977,-18.16304461,1.0792968,0
2MASS J08281371-1810583,5707974874543210368,127.0571613,-18.18288088,0.9289799,0
2MASS J08281371-1810583,5707974878841727616,127.057968,-18.18298986,0.95965487,0
2MASS J08281371-1810583,5707974878840494080,127.0561854,-18.18324672,1.0328727,0
2MASS J08281388-1801106,5708013804126756224,127.0578373,-18.01958181,0.96732867,0
2MASS J08282165-1802041,5708013460529374464,127.0902385,-18.03448346,1.0470268,0
2MASS J08282165-1802041,5708013464824587136,127.0907089,-18.03508574,1.0558223,0
2MASS J08283252-1806575,5707977043504849920,127.1354967,-18.11599636,0.948546,0
2MASS J08283252-1806575,5707977043503298048,127.1353109,-18.1172759,1.057326,0
2MASS J08284344-1801092,5708002023034340992,127.1809912,-18.01925512,0.9524092,0
2MASS J08284866-1810322,5707973470092052992,127.2027526,-18.17560712,1.2400857,0
2MASS J08285629-1801406,5708001262822252672,127.2345652,-18.02794663,1.6430949,0
2MASS J08290598-1805565,5707997728067305216,127.2749081,-18.09903096,0.974396,0
2MASS J08290951-1807201,5707996796057723264,127.289669,-18.12234826,2.6450982,0
