target_id,source_id,ra,dec,RUWE,non_single_star
2MASS J16200012+2733344,1305304440305268992,245.0005304,27.55953242,2.4695132,0
2MASS J16200058+2638119,1303707330945926912,245.0024003,26.63662157,0.9971109,0
2MASS J16200096+3029038,1319031877337233536,245.0040336,30.48425284,0.91482365,0
2MASS J16200130+3054529,1319060258481359104,245.0054915,30.91460542,1.0364933,0
2MASS J16200198+2825014,1317515990103899136,245.0081788,28.41707941,1.0322903,0
2MASS J16200223+3323551,1328604809683971968,245.0092294,33.39850785,1.097535,0
2MASS J16200263+3300390,1325569298598561152,245.0109509,33.01074847,3.429298,1
2MASS J16200295+2810183,1317371442980652544,245.0121991,28.17181139,1.0758358,0
2MASS J16200351+3111508,1319207936636720384,245.0143309,31.19774449,1.0053902,0
2MASS J16200366+2757487,1317358661157946624,245.015167,27.96370942,0.97056574,0
2MASS J16200528+3240432,1325543009101952384,245.021902,32.67858976,1.3077084,0
2MASS J16200528+3240432,1325543009101952384,245.021902,32.67858976,1.3077084,0
2MASS J16200550+3313093,1328597559779160064,245.0229521,33.21937901,0.9965095,0
2MASS J16200675+2811476,1317372336333852416,245.0280198,28.19677111,1.0594553,0
2MASS J16200695+2625173,1303688673607958784,245.0292024,26.42081876,1.0965321,0
2MASS J16200695+2625173,1303688673607958784,245.0292024,26.42081876,1.0965321,0
2MASS J16200695+2625173,1303688673607958784,245.0292024,26.42081876,1.0965321,0
2MASS J16200725+2804191,1317366426458833920,245.0303114,28.07184228,5.4704065,1
2MASS J16200818+3115377,1319209753406868096,245.0339947,31.26055328,4.059721,1
2MASS J16201057+3130398,1319230992021191424,245.0439981,31.51107779,0.93622583,0
2MASS J16201156+2900436,1317760498298475008,245.0482203,29.01209644,0.9846704,0
2MASS J16201263+3226245,1325489098672048640,245.0526814,32.44015586,1.0460166,0
2MASS J16201263+3226245,1325489098672048640,245.0526814,32.44015586,1.0460166,0
2MASS J16201277+2545026,1303442348643932544,245.0532095,25.75070716,0.9958955,0
2MASS J16201277+3057381,1319060842597327360,245.0531881,30.96061346,1.0183277,0
2MASS J16201504+2541172,1303441077334432000,245.0626214,25.68807383,1.7330911,0
2MASS J16201556+3104204,1319202988834379648,245.0649493,31.07229639,2.091252,1
2MASS J16201596+2626557,1303690219796332160,245.0662504,26.44859279,1.9681563,1
2MASS J16201596+2626557,1303690219796332160,245.0662504,26.44859279,1.9681563,1
2MASS J16201620+2601126,1303467465612758784,245.0674988,26.02015416,1.7963195,1
2MASS J16201734+3233338,1325537064866819072,245.0723161,32.55929837,0.98095363,0
2MASS J16201734+3233338,1325537064866819072,245.0723161,32.55929837,0.98095363,0
2MASS J16201757+2630466,1303693758849242752,245.0732012,26.51302235,0.9963587,0
2MASS J16201757+2630466,1303693758849242752,245.0732012,26.51302235,0.9963587,0
2MASS J16201939+2535134,1303392973699884160,245.0807067,25.58715004,5.5651765,0
2MASS J16201996+2941160,1318170925372656896,245.0831051,29.68770234,0.93867314,0
2MASS J16201996+2941160,1318170921079541120,245.0835243,29.68669807,1.1206634,0
2MASS J16202072+2949414,1318221193669908608,245.0866397,29.82806216,0.9862111,0
2MASS J16202072+2949414,1318221189374794880,245.0859053,29.82833968,1.0004315,0
2MASS J16202135+2839328,1317528810582314368,245.0888982,28.65913376,0.9112431,0
2MASS J16202135+2839328,1317528810582314368,245.0888982,28.65913376,0.9112431,0
2MASS J16202211+3001235,1318232425007975808,245.0921229,30.02328297,0.9481574,0
2MASS J16202238+3231185,1325536794285895936,245.0931911,32.5217892,0.9488305,0
2MASS J16202238+3231185,1325536794285895936,245.0931911,32.5217892,0.9488305,0
2MASS J16202346+3250114,1325551225376064256,245.0977063,32.83650817,0.92957264,0
2MASS J16202481+3128508,1319230029948509568,245.1033811,31.48082099,1.0345694,0
2MASS J16202575+2837391,1317528432625183872,245.1070043,28.62775366,1.1030949,0
2MASS J16202677+2656584,1305222732847163264,245.1115728,26.94962703,1.1100023,0
2MASS J16202677+2656584,1305222732847163264,245.1115728,26.94962703,1.1100023,0
2MASS J16202689+3114372,1319206974564041088,245.1120053,31.24372345,0.9284165,0
2MASS J16202728+3332313,1328612197027724288,245.1136562,33.54211146,1.2193458,0
2MASS J16202768+3121437,1319216526571426304,245.1152441,31.36206305,0.989457,0
2MASS J16202964+3008455,1318246688595822336,245.1235798,30.14593494,0.9465313,0
2MASS J16203067+3009193,1318246791675038080,245.1277532,30.15535868,1.1221257,0
2MASS J16203192+2507469,1303268179130144512,245.132944,25.12972807,1.5253073,0
2MASS J16203192+2507469,1303268179130144512,245.132944,25.12972807,1.5253073,0
2MASS J16203206+3246565,1325549747907312512,245.1334227,32.78233824,2.5497522,0
2MASS J16203206+3246565,1325549747907312512,245.1334227,32.78233824,2.5497522,0
2MASS J16203210+2859137,1317572859766944640,245.13391,28.98682835,1.0383925,0
2MASS J16203221+2721407,1305286676320478336,245.1342566,27.36135795,0.8927956,0
2MASS J16203258+2650268,1303717226550587008,245.1358559,26.8408381,0.9985633,0
2MASS J16203266+2641167,1303703375279322752,245.1358035,26.68796694,1.0631009,0
2MASS J16203266+2641167,1303703375279322752,245.1358035,26.68796694,1.0631009,0
2MASS J16203396+3145100,1319260953713161344,245.1415388,31.75279172,1.0460709,0
2MASS J16203413+2815395,1317465863541464576,245.142205,28.26100221,1.029382,0
2MASS J16203416+3132541,1319232263331506304,245.1421524,31.5484599,2.7342167,0
2MASS J16203416+3132541,1319232263329996416,245.1423117,31.54898543,1.3411893,0
2MASS J16203719+2922105,1317775376065461120,245.1549557,29.36947892,0.9946596,0
2MASS J16203719+2922105,1317775376065461120,245.1549557,29.36947892,0.9946596,0
2MASS J16203828+3043230,1319041154466816640,245.1594395,30.72299789,1.0061548,0
2MASS J16203840+3001190,1318231913908297728,245.1600256,30.02188569,1.0237186,0
2MASS J16203840+3001190,1318231913908396416,245.1588352,30.02127094,1.0261164,0
2MASS J16203859+2718212,1305284064980349184,245.1607363,27.30588895,1.1370369,0
2MASS J16203859+2718212,1305284064980349184,245.1607363,27.30588895,1.1370369,0
2MASS J16203859+2718212,1305284064980448512,245.1604697,27.30460481,1.038084,0
2MASS J16203859+2718212,1305284064980448512,245.1604697,27.30460481,1.038084,0
2MASS J16203949+2711496,1305280044890810624,245.1645475,27.19710014,1.1457224,0
2MASS J16203977+2602474,1303457222114761344,245.1656311,26.04648043,1.0344149,0
2MASS J16203977+2602474,1303457222114761344,245.1656311,26.04648043,1.0344149,0
2MASS J16204053+3001538,1318231948268036352,245.1689199,30.03165762,1.117626,0
2MASS J16204074+3014263,1318271668125622016,245.169769,30.24071615,1.0186034,0
2MASS J16204074+3014263,1318271668125622016,245.169769,30.24071615,1.0186034,0
2MASS J16204151+2842045,1317530597288702464,245.1728653,28.7013771,0.9355868,0
2MASS J16204253+3251511,1325552565406011776,245.1771247,32.86419501,0.92497534,0
2MASS J16204259+2807299,1317367422891230208,245.1774577,28.12491975,1.3736666,0
2MASS J16204272+2533084,1303389018032990080,245.1779864,25.55223742,1.916176,0
2MASS J16204491+2909394,1317763483298747520,245.1871041,29.16097095,1.1162468,0
2MASS J16204491+3029533,1319029712673876480,245.1870911,30.49816281,0.98352337,0
2MASS J16204491+3029533,1319029712673876480,245.1870911,30.49816281,0.98352337,0
2MASS J16204541+3045244,1319043456569287424,245.1892541,30.75672228,1.0025344,0
2MASS J16204633+2732062,1305323956636625536,245.1930236,27.53512232,1.6173451,0
2MASS J16204650+3100332,1319152102061837312,245.1936802,31.00927453,2.6333745,2
2MASS J16204778+3251528,1325551908274179456,245.1990274,32.86467383,5.6495833,0
2MASS J16204865+2650061,1305217544527370624,245.2027119,26.83495465,1.23432,0
2MASS J16204865+2650061,1305217544527370624,245.2027119,26.83495465,1.23432,0
2MASS J16204885+3001430,1318233150858872064,245.2034854,30.02859491,3.6066492,3
2MASS J16204905+3005455,1318234353449726976,245.204327,30.09598335,0.9949769,0
2MASS J16204905+3005455,1318234353449726976,245.204327,30.09598335,0.9949769,0
2MASS J16204940+3135149,1319255696673286784,245.2058197,31.5874367,1.013363,0
2MASS J16204962+2911190,1317769397470715392,245.2066795,29.18865644,1.0230918,0
2MASS J16205013+3109052,1319158389893970304,245.2089386,31.15139374,2.1199358,0
2MASS J16205022+3220497,1325483777209580032,245.2092361,32.34720455,1.719514,0
2MASS J16205022+3220497,1325483777209580032,245.2092361,32.34720455,1.719514,0
2MASS J16205058+2558427,1303455748941968768,245.2108592,25.97843301,2.8472118,0
2MASS J16205058+2558427,1303455748940308352,245.2103111,25.97786648,1.0410748,0
2MASS J16205088+2737569,1305329213676608896,245.2120494,27.63244669,0.9059392,0
2MASS J16205186+2708409,1305278739220748544,245.216124,27.14459427,1.1095158,0
2MASS J16205186+2708409,1305278739220748544,245.216124,27.14459427,1.1095158,0
2MASS J16205233+3139411,1319257277221603584,245.2180218,31.66134027,1.2112354,0
2MASS J16205268+2702531,1305225344187321984,245.2193548,27.04806322,0.89793885,0
2MASS J16205341+2909073,1317769088233061632,245.2224717,29.15200281,0.989536,0
2MASS J16205349+3112318,1319164712085835008,245.2227201,31.20879885,0.91584337,0
2MASS J16205392+2902324,1317573821840053376,245.2246385,29.04231163,0.9866788,0
2MASS J16205477+2627207,1303695373756921216,245.2281622,26.45606913,0.89130145,0
2MASS J16205478+2645565,1305205243740321408,245.2283495,26.76553232,1.1739842,0
2MASS J16205478+2645565,1305205243740321408,245.2283495,26.76553232,1.1739842,0
2MASS J16205487+3228434,1325489996322230272,245.2285821,32.4787685,12.448769,0
2MASS J16205572+3050259,1319044418641963008,245.232128,30.84052885,0.9993789,0
2MASS J16205774+3231494,1325490717876739072,245.2406031,32.53039114,0.97157156,0
2MASS J16205785+3200539,1319458865806028160,245.2407649,32.01482885,1.1247987,0
2MASS J16205795+2905569,1317575191932809984,245.2413408,29.09914716,1.0080221,0
2MASS J16205841+2609493,1303493265480307712,245.2433968,26.16355572,0.9457606,0
2MASS J16205841+2609493,1303493265480307712,245.2433968,26.16355572,0.9457606,0
2MASS J16210081+2734394,1305324437672959360,245.2529868,27.57762239,0.9943828,0
2MASS J16210111+2805040,1317449130348865280,245.2545722,28.08437443,1.2667465,0
2MASS J16210173+2654437,1305220362025208960,245.2572645,26.91215879,1.0590843,0
2MASS J16210173+2654437,1305220362025208960,245.2572645,26.91215879,1.0590843,0
2MASS J16210196+3028338,1318284759186016384,245.2578872,30.47588001,0.92537117,0
2MASS J16210271+2512409,1303274089005136896,245.2612731,25.2113377,0.9150258,0
2MASS J16210280+3246472,1325548236078821376,245.2616191,32.77975442,1.1360487,2
2MASS J16210280+3246472,1325548236078821376,245.2616191,32.77975442,1.1360487,2
2MASS J16210338+3301255,1325577609358472448,245.263982,33.02374914,1.292001,0
2MASS J16210354+3014432,1318271118369794560,245.2644506,30.24520786,0.92170787,0
2MASS J16210355+3025489,1318277814222344192,245.2647696,30.43020802,0.99387336,0
